generated_question_id,template_id,layer_id,scene_id,file_path,question_text,ground_truth_answer
0,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",yes
1,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
2,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
3,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
4,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
5,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",yes
6,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
7,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
8,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",yes
9,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",no
10,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",no
11,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
12,1,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",no
13,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",yes
14,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
15,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
16,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
17,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
18,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",yes
19,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
20,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
21,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",yes
22,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",no
23,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",no
24,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
25,1,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",no
26,1,1_1_1,3,3 double flat.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
27,1,1_1_1,3,3 double flat.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
28,1,1_1_1,3,3 double flat.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
29,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
30,1,1_1_1,3,3 double flat.jpg,"Does this view contain a staircase? 
Answer ""yes"" or ""no"".",yes
31,1,1_1_1,3,3 double flat.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
32,1,1_1_1,3,3 double flat.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
33,1,1_1_1,3,3 double flat.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",yes
34,1,1_1_1,3,3 double flat.jpg,"Does this view contain a double bed? 
Answer ""yes"" or ""no"".",yes
35,1,1_1_1,3,3 double flat.jpg,"Does this view contain a single bed? 
Answer ""yes"" or ""no"".",yes
36,1,1_1_1,3,3 double flat.jpg,"Does this view contain a bedside table? 
Answer ""yes"" or ""no"".",yes
37,1,1_1_1,3,3 double flat.jpg,"Does this view contain a coffee table? 
Answer ""yes"" or ""no"".",yes
38,1,1_1_1,3,3 double flat.jpg,"Does this view contain a dining table? 
Answer ""yes"" or ""no"".",yes
39,1,1_1_1,3,3 double flat.jpg,"Does this view contain a plates? 
Answer ""yes"" or ""no"".",yes
40,1,1_1_1,3,3 double flat.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",yes
41,1,1_1_1,3,3 double flat.jpg,"Does this view contain a fork? 
Answer ""yes"" or ""no"".",yes
42,1,1_1_1,3,3 double flat.jpg,"Does this view contain a chair? 
Answer ""yes"" or ""no"".",yes
43,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wardrobe? 
Answer ""yes"" or ""no"".",yes
44,1,1_1_1,3,3 double flat.jpg,"Does this view contain a armchair? 
Answer ""yes"" or ""no"".",yes
45,1,1_1_1,3,3 double flat.jpg,"Does this view contain a plant? 
Answer ""yes"" or ""no"".",yes
46,1,1_1_1,3,3 double flat.jpg,"Does this view contain a humans? 
Answer ""yes"" or ""no"".",yes
47,1,1_1_1,3,3 double flat.jpg,"Does this view contain a reading human? 
Answer ""yes"" or ""no"".",yes
48,1,1_1_1,3,3 double flat.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",yes
49,1,1_1_1,3,3 double flat.jpg,"Does this view contain a woman? 
Answer ""yes"" or ""no"".",yes
50,1,1_1_1,3,3 double flat.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",yes
51,1,1_1_1,3,3 double flat.jpg,"Does this view contain a glazed curtain wall? 
Answer ""yes"" or ""no"".",yes
52,1,1_1_1,3,3 double flat.jpg,"Does this view contain a doorless portal? 
Answer ""yes"" or ""no"".",yes
53,1,1_1_1,3,3 double flat.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",no
54,1,1_1_1,3,3 double flat.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",no
55,1,1_1_1,3,3 double flat.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",no
56,1,1_1_1,3,3 double flat.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",no
57,1,1_1_1,3,3 double flat.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",no
58,1,1_1_1,3,3 double flat.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",no
59,1,1_1_1,3,3 double flat.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",no
60,1,1_1_1,3,3 double flat.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",no
61,1,1_1_1,3,3 double flat.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",no
62,1,1_1_1,3,3 double flat.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",no
63,1,1_1_1,3,3 double flat.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
64,1,1_1_1,4,4 double flat.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",yes
65,1,1_1_1,4,4 double flat.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",yes
66,1,1_1_1,4,4 double flat.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",yes
67,1,1_1_1,4,4 double flat.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
68,1,1_1_1,4,4 double flat.jpg,"Does this view contain a staircase? 
Answer ""yes"" or ""no"".",yes
69,1,1_1_1,4,4 double flat.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",yes
70,1,1_1_1,4,4 double flat.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",yes
71,1,1_1_1,4,4 double flat.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",yes
72,1,1_1_1,4,4 double flat.jpg,"Does this view contain a double bed? 
Answer ""yes"" or ""no"".",yes
73,1,1_1_1,4,4 double flat.jpg,"Does this view contain a single bed? 
Answer ""yes"" or ""no"".",yes
74,1,1_1_1,4,4 double flat.jpg,"Does this view contain a bedside table? 
Answer ""yes"" or ""no"".",yes
75,1,1_1_1,4,4 double flat.jpg,"Does this view contain a coffee table? 
Answer ""yes"" or ""no"".",yes
76,1,1_1_1,4,4 double flat.jpg,"Does this view contain a dining table? 
Answer ""yes"" or ""no"".",yes
77,1,1_1_1,4,4 double flat.jpg,"Does this view contain a plates? 
Answer ""yes"" or ""no"".",yes
78,1,1_1_1,4,4 double flat.jpg,"Does this view contain a knife? 
Answer ""yes"" or ""no"".",yes
79,1,1_1_1,4,4 double flat.jpg,"Does this view contain a fork? 
Answer ""yes"" or ""no"".",yes
80,1,1_1_1,4,4 double flat.jpg,"Does this view contain a chair? 
Answer ""yes"" or ""no"".",yes
81,1,1_1_1,4,4 double flat.jpg,"Does this view contain a wardrobe? 
Answer ""yes"" or ""no"".",yes
82,1,1_1_1,4,4 double flat.jpg,"Does this view contain a armchair? 
Answer ""yes"" or ""no"".",yes
83,1,1_1_1,4,4 double flat.jpg,"Does this view contain a plant? 
Answer ""yes"" or ""no"".",yes
84,1,1_1_1,4,4 double flat.jpg,"Does this view contain a humans? 
Answer ""yes"" or ""no"".",yes
85,1,1_1_1,4,4 double flat.jpg,"Does this view contain a reading human? 
Answer ""yes"" or ""no"".",yes
86,1,1_1_1,4,4 double flat.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",yes
87,1,1_1_1,4,4 double flat.jpg,"Does this view contain a woman? 
Answer ""yes"" or ""no"".",yes
88,1,1_1_1,4,4 double flat.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",yes
89,1,1_1_1,4,4 double flat.jpg,"Does this view contain a glazed curtain wall? 
Answer ""yes"" or ""no"".",yes
90,1,1_1_1,4,4 double flat.jpg,"Does this view contain a doorless portal? 
Answer ""yes"" or ""no"".",yes
91,1,1_1_1,4,4 double flat.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",no
92,1,1_1_1,4,4 double flat.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",no
93,1,1_1_1,4,4 double flat.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",no
94,1,1_1_1,4,4 double flat.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",no
95,1,1_1_1,4,4 double flat.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",no
96,1,1_1_1,4,4 double flat.jpg,"Does this view contain a handrails? 
Answer ""yes"" or ""no"".",no
97,1,1_1_1,4,4 double flat.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",no
98,1,1_1_1,4,4 double flat.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",no
99,1,1_1_1,4,4 double flat.jpg,"Does this view contain a paper towel dispenser? 
Answer ""yes"" or ""no"".",no
100,1,1_1_1,4,4 double flat.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",no
101,1,1_1_1,4,4 double flat.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",no
102,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
103,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",yes
104,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",yes
105,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",yes
106,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",yes
107,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",yes
108,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",yes
109,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",yes
110,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",yes
111,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a reading human? 
Answer ""yes"" or ""no"".",no
112,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a plant? 
Answer ""yes"" or ""no"".",no
113,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",no
114,1,1_1_1,5,5 Living_house - Facade fragment.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",no
115,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
116,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",yes
117,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",yes
118,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",yes
119,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",yes
120,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",yes
121,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",yes
122,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",yes
123,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",yes
124,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a sink? 
Answer ""yes"" or ""no"".",no
125,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",no
126,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a strove? 
Answer ""yes"" or ""no"".",no
127,1,1_1_1,6,6 Living_house - Facade fragment.jpg,"Does this view contain a sanitary fixture? 
Answer ""yes"" or ""no"".",no
128,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
129,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",yes
130,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",yes
131,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",yes
132,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",yes
133,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",yes
134,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",yes
135,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",yes
136,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",yes
137,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a toilet? 
Answer ""yes"" or ""no"".",no
138,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a service duct? 
Answer ""yes"" or ""no"".",no
139,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a fork? 
Answer ""yes"" or ""no"".",no
140,1,1_1_1,7,7 Living_house - Facade fragment.jpg,"Does this view contain a wardrobe? 
Answer ""yes"" or ""no"".",no
141,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a wall? 
Answer ""yes"" or ""no"".",yes
142,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a window? 
Answer ""yes"" or ""no"".",yes
143,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a curtain wall? 
Answer ""yes"" or ""no"".",yes
144,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a floor slabs? 
Answer ""yes"" or ""no"".",yes
145,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a insulation? 
Answer ""yes"" or ""no"".",yes
146,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a floor finish? 
Answer ""yes"" or ""no"".",yes
147,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a wall finish? 
Answer ""yes"" or ""no"".",yes
148,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a horizontal bands? 
Answer ""yes"" or ""no"".",yes
149,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a facade flashing? 
Answer ""yes"" or ""no"".",yes
150,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a grabrail? 
Answer ""yes"" or ""no"".",no
151,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a door? 
Answer ""yes"" or ""no"".",no
152,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a human having a drink? 
Answer ""yes"" or ""no"".",no
153,1,1_1_1,8,8 Living_house - Facade fragment.jpg,"Does this view contain a man? 
Answer ""yes"" or ""no"".",no
154,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""tank""?
Answer ""yes"" or ""no"".",yes
155,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""set""?
Answer ""yes"" or ""no"".",yes
156,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""lid""?
Answer ""yes"" or ""no"".",yes
157,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""rim""?
Answer ""yes"" or ""no"".",yes
158,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of handrails in the attached view.
Does handrails have the feature ""facade system""?
Answer ""yes"" or ""no"".",no
159,2,1_1_1,1,1 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of paper towel dispenser in the attached view.
Does paper towel dispenser have the feature ""anchor dowel""?
Answer ""yes"" or ""no"".",no
160,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""tank""?
Answer ""yes"" or ""no"".",yes
161,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""set""?
Answer ""yes"" or ""no"".",yes
162,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""lid""?
Answer ""yes"" or ""no"".",yes
163,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""rim""?
Answer ""yes"" or ""no"".",yes
164,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""drain hole""?
Answer ""yes"" or ""no"".",yes
165,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of grabrail in the attached view.
Does grabrail have the feature ""curtain wall""?
Answer ""yes"" or ""no"".",no
166,2,1_1_1,2,2 a plan view of a semi-abudant WC room.jpg,"Find one or multiple entities of door in the attached view.
Does door have the feature ""facade system""?
Answer ""yes"" or ""no"".",no
167,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""tank""?
Answer ""yes"" or ""no"".",yes
168,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""pillow""?
Answer ""yes"" or ""no"".",yes
169,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""blanket""?
Answer ""yes"" or ""no"".",yes
170,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""headboard""?
Answer ""yes"" or ""no"".",yes
171,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of double bed in the attached view.
Does double bed have the feature ""pillow""?
Answer ""yes"" or ""no"".",yes
172,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of double bed in the attached view.
Does double bed have the feature ""headboard""?
Answer ""yes"" or ""no"".",yes
173,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of armchair in the attached view.
Does armchair have the feature ""backrest""?
Answer ""yes"" or ""no"".",yes
174,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""tap""?
Answer ""yes"" or ""no"".",yes
175,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""drain hole""?
Answer ""yes"" or ""no"".",yes
176,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of strove in the attached view.
Does strove have the feature ""strove burner""?
Answer ""yes"" or ""no"".",yes
177,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of plant in the attached view.
Does plant have the feature ""leaves""?
Answer ""yes"" or ""no"".",yes
178,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of plant in the attached view.
Does plant have the feature ""pot""?
Answer ""yes"" or ""no"".",yes
179,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of stair in the attached view.
Does stair have the feature ""stringer""?
Answer ""yes"" or ""no"".",no
180,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of stair in the attached view.
Does stair have the feature ""tread""?
Answer ""yes"" or ""no"".",no
181,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of plant in the attached view.
Does plant have the feature ""handrail""?
Answer ""yes"" or ""no"".",no
182,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of glazed curtain wall in the attached view.
Does glazed curtain wall have the feature ""floor slabs""?
Answer ""yes"" or ""no"".",no
183,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of reading human in the attached view.
Does reading human have the feature ""wheels""?
Answer ""yes"" or ""no"".",no
184,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of man in the attached view.
Does man have the feature ""rim""?
Answer ""yes"" or ""no"".",no
185,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""pot""?
Answer ""yes"" or ""no"".",no
186,2,1_1_1,3,3 double flat.jpg,"Find one or multiple entities of knife in the attached view.
Does knife have the feature ""structural wall""?
Answer ""yes"" or ""no"".",no
187,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of toilet in the attached view.
Does toilet have the feature ""tank""?
Answer ""yes"" or ""no"".",yes
188,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""pillow""?
Answer ""yes"" or ""no"".",yes
189,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""blanket""?
Answer ""yes"" or ""no"".",yes
190,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of single bed in the attached view.
Does single bed have the feature ""headboard""?
Answer ""yes"" or ""no"".",yes
191,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of double bed in the attached view.
Does double bed have the feature ""pillow""?
Answer ""yes"" or ""no"".",yes
192,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of double bed in the attached view.
Does double bed have the feature ""headboard""?
Answer ""yes"" or ""no"".",yes
193,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of armchair in the attached view.
Does armchair have the feature ""backrest""?
Answer ""yes"" or ""no"".",yes
194,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""tap""?
Answer ""yes"" or ""no"".",yes
195,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of sink in the attached view.
Does sink have the feature ""drain hole""?
Answer ""yes"" or ""no"".",yes
196,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of strove in the attached view.
Does strove have the feature ""strove burner""?
Answer ""yes"" or ""no"".",yes
197,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of plant in the attached view.
Does plant have the feature ""leaves""?
Answer ""yes"" or ""no"".",yes
198,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of plant in the attached view.
Does plant have the feature ""pot""?
Answer ""yes"" or ""no"".",yes
199,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of stair in the attached view.
Does stair have the feature ""stringer""?
Answer ""yes"" or ""no"".",no
200,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of stair in the attached view.
Does stair have the feature ""tread""?
Answer ""yes"" or ""no"".",no
201,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of bedside table in the attached view.
Does bedside table have the feature ""window sill""?
Answer ""yes"" or ""no"".",no
202,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of wall in the attached view.
Does wall have the feature ""blanket""?
Answer ""yes"" or ""no"".",no
203,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of woman in the attached view.
Does woman have the feature ""mullions""?
Answer ""yes"" or ""no"".",no
204,2,1_1_1,4,4 double flat.jpg,"Find one or multiple entities of chair in the attached view.
Does chair have the feature ""floor slabs""?
Answer ""yes"" or ""no"".",no
