cutout_id;scene_id;rule_id;template_id;file_path;caption;not compliant;not sufficient;object_type;feature_name;location_context;space_naming;material;text;multi-view_dimensions;spatial relations;camera_json (optional);Unnamed: 17
1;1;5,6,7,8,9,10,11,12,13,14,15,16,17,47,48;1, 2, 8, 9,10,12,39, 40, 41, 42,43, 44,45,46;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\1 a plan view of a semi-abudant WC room.jpg;a plan view of a semi-ambulant  WC room;12, 14, 15, 16;13,42,43,44;handrails, toilet, sink, door, wall, paper towel dispenser, service duct, sanitary fixture, grabrail;{toilet: tank, set, lid, rim};semi-ambulant  WC room;;;"label with a leader/room tag={room name:TOILET, room label:1D26}, door={dimension:975}, the distance between the edge of the sink and a wall opposite to it = {dimension:1181}, the distance between the toilet and the edge of the open door = {dimension:974}, text={""Cutout 1""},  text={""1""}";;cluster of rooms;;
1;2;5,6,7,8,9,10,11,12,13,14,15,16,17,;1, 2, 5, 8, 9,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\2 a plan view of a semi-abudant WC room.jpg;a plan view of a drawing. It represents a semi-ambulant  WC room in night mode interface. There is a paper towel dispenser highlighted.;12, 14, 15, 16;6,7,8,9,10,13,42,43,44;handrails, toilet, sink, door, wall, highlighted:paper towel dispenser, service duct, sanitary fixture, grabrail;{toilet: tank, set, lid, rim}, {sink:drain hole};semi-ambulant WC room;adjacency and connectivity functional grouping cluster of rooms;color={paper towel dispenser:turquoise};label with a leader/room tag={room name:TOILET, room label:1D26}, door={dimension:975};;;;
2;3;;1,2,4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\3 double flat.jpg;a plan view of a drawing. It shows the first floor of a two-story apartment. The layout clearly shows the zoning that separates private spaces (bedroom) and public spaces for hosting guests and hanging out together.;;;toilet, sink, door, wall, staircase, service duct, sanitary fixture, strove, double bed, single bed, bedside table, coffee table, dining table, plates, knife, fork, chair, wardrobe, armchair, plant, humans, reading human, human having a drink, woman, man, glazed curtain wall, doorless portal;{toilet: tank}, {single bed:pillow, blanket, headboard}, {double bed:pillow, headboard}, {armchair: backrest}, {sink:tap, drain hole}, {strove:strove burner}, {plant:leaves, pot}, {stair:stringer,tread};two-story apartment, two-story flat;"functional grouping={private zone:child bedroom, WC, Guest bedroom;public zone: living room, Guest WC, Living room;entrance zone: two corridor spaces}, direct_connectivity={
child bedroom:guest bedroom,living room,WC,public zone; WC:child bedroom,guest bedroom,living room,public zone; guest bedroom:child bedroom,living room,WC,public zone; living room:child bedroom,guest bedroom,kitchen,guest WC, entrance area; guest WC: living room, kitchen, corridor, entrance area, private zone; kitchen: living room, guestWC, entrance area, corridor, private zone}
adjacency={ child bedroom,guest bedroom, WC, corridor; WC,child bedroom,guest WC, corridor, service duct;guest bedroom,corridor, child bedroom, public zone; guest WC,living room,WC, entrance area;
living room,guest bedroom,entrance area, kitchen,guest WC,private zone; kitchen,living room; private zone,public zone; public zone,private zone} not_direct_connectivity={
child bedroom:guest WC,kitchen, entrance area;
WC:guest WC,entrance area,kitchen;
guest bedroom:guest WC,kitchen,entrance area;
guest WC:child bedroom,guest bedroom,WC;
kitchen:child bedroom,WC,guest bedroom;}";texture={pillow in child bedroom:soft}, material={floor in WC: tiles, floor in child bedroom: parquet/ laminate, floor in quest bedroom: parquet/ laminate};room tag={room name:Child bedroom, room area:14 m?},room tag={room name:Guest bedroom, room area:24 m?},label with a leader/room tag={room name:Guest WC, room area:2 m?},room tag={room name:WC, room area:5 m?},room tag={room name:Living room, room area:51 m?},room tag={room name:Kitchen, room area:5 m?};;"adjacency={toilet,sink,wall,bath; door,wall;doorless portal,wall; staircase,wall,dining table,glazed curtain wall,door,living room,guest bedroom; bath,toilet,sink,wall; stove,wall, sink; double bed,wall,bedside table,bedside table,guest bedroom, wardrobe; single bed,bedside tablewall,wardrobe,child bedroom; bedside table,double bed,wall, floor; coffee table,armchair,chair,living room; dining table,chair,cabinet,staircase, plates, forks, knifes,living room; plates,dining table,fork,knife; knife,plates,fork,dining table; fork,plates,knife,dining table; chair,dining table;armchair,coffee table,living room; wardrobe,single bed,wall,child bedroom; armchair,coffee table,chair,woman,man,living room; plant,living room,woman; humans,living room,armchair,coffee table; reading human,armchair,coffee table; human having a drink,armchair,coffee table; man,armchair,woman,living room; glazed curtain wall,wall,living room; doorless portal,wall,door,living room } functional grouping={lounge area:armchairs,coffee table,plant,reading human,human having a drink,woman,man; dining area:dining table,chairs,plates,knifes,forks; entrance zone: two doors, doorless portal, wardrobe}";;
2;4;;1,2,3, 4,5,6,7,8,10,11,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\4 double flat.jpg;a plan view of a drawing. It shows the first floor of a two-story apartment. The layout clearly shows the zoning that separates private spaces (bedroom) and public spaces for hosting guests and hanging out together. There are elements in child bedroom highlighted.;;;toilet, sink, highlighted:door, door,  highlighted:wall, wall, staircase, service duct, sanitary fixture, strove, double bed,  highlighted:single bed, highlighted:bedside table, bedside table, coffee table, dining table, plates, knife, fork, chair,  highlighted:single bed, highlighted:wardrobe, wardrobe, armchair, plant, humans, reading human, human having a drink, woman, man, highlighted:glazed curtain wall, glazed curtain wall, doorless portal;{toilet: tank}, {single bed:pillow, blanket, headboard}, {double bed:pillow, headboard}, {armchair: backrest}, {sink:tap, drain hole}, {strove:strove burner}, {plant:leaves, pot}, {stair:stringer,tread};two-story apartment, two-story flat;;texture={pillow on a single bed:soft}, material={floor in WC: tiles, floor in child bedroom: parquet/ laminate, floor in quest bedroom: parquet/ laminate}, color={child bedroom objects:blue};highlighted:room tag={room name:Child bedroom, room area:14 m?},room tag={room name:Guest bedroom, room area:24 m?},label with a leader/room tag={room name:Guest WC, room area:2 m?},room tag={room name:WC, room area:5 m?},room tag={room name:Living room, room area:51 m?},room tag={room name:Kitchen, room area:5 m?};;;;
3;5;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\5 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={facade flashing:ventilated facade panels, ventilation layer:air, load-bearing structure:[reinforced concrete structure, 250 mm]}, elevation={dimension:200};;;;
3;6;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\6 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels}, {plan view:window, curtain wall, facade system, floor finish layers},{ facade system:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, transparent window infill:glass, load-bearing structure:reinforced concrete slab, hydroisolation: 2 layers of polyethylene film/rubberized felt waterproofing, leveling screed:cement-sand screed, bonding layer:tile adhesive, floor finish:ceramic tile} color={facade panel:green/olive}";label with a leader/layer tag={load-bearing structure:[reinforced concrete slab, 200 mm], hydroinsulation: 2 layers of polyethylene film, leveling screed:[cement-sand screed, 20 mm], hydroinsulation:[rubberized felt waterproofing, 20 mm],  leveling screed:[cement-sand screed, 20 mm], bonding layer:bonding layer of tile adhesive, floor finish:[ceramic tile, 10 mm]};;;;"transparent window infill option_pool_allowed äëÿ ýòîé êàòåãîðèè:

allowed: glass, tempered glass, laminated glass, double glazing, polycarbonate
forbidden: wood, oak, pine, vinyl, PVC, aluminum"
3;7;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\7 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={wall finish:mesh-reinforced plaster, thermal insulation:insulation, non-structural partition:[Foam concrete block wall, 400 mm], wall finish:mesh-reinforced plaster};;;;
3;8;;1,2, 4,5,6,7,8,10,12;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\8 Living_house - Facade fragment.jpg;a drawing of a facade fragment. It includes a fragment of an elevation and a section or detail view. Elevation shows several windows and wall fragments with finish. Detail view shows a section in the balcony/loggia area.;;;wall, window, curtain wall, floor slabs, wall, insulation, floor finish, wall finish, horizontal bands, facade flashing;{elevation:wall, window, curtain wall, facade flashing}, {section:floor slabs, wall, structural wall, insulation, window/curtain wall, floor finish, wall finish, horizontal bands}, {horizontal bands:bracket, anchor dowel, vertical guide, facade panel, self-tapping screw, window sill}, {curtain wall: frames, mullions, panels};multi-story residential building;;"texture={curtain wall panels:glossy, insulation:Diagonal hatching/dense angled lines}, material={floor slabs: reinforced concrete, facade flashing:ceramic tiles/	
Sheet metal/aluminum/galvanized steel, insulation:mineral wool, structural wall:reinforced concrete,curtain wall panels:glass, window:glass,  leveling screed:cement-sand screed}, color={facade panel:green/olive}";label with a leader/layer tag={load-bearing structure:[reinforced concrete slab, 300 mm], hydroinsulation: [Waterproofing, 20 mm], leveling screed:[cement-sand screed, 20 mm], sound insulation, bonding layer:adhesive compound, floor finish:[laminate flooring, 12 mm]};;;;"äâóõêîìíàòíàÿ êâàðòèðà ? two-room apartment / two-bedroom apartment

òð¸õêîìíàòíàÿ êâàðòèðà ? three-room apartment / three-bedroom apartment"
4;9;1,2,4;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\9 Cutout 4 - Compositional view.jpg;"a drawing with several projections of a building. It features a plan fragment of two connected rooms, each accessible via a separate door. 

There are two sections: a corridor view cross-section (Section 1) and a longitudinal section (Section 2). 

The 3D axonometric view illustrates the spatial arrangement of doors.";4;45,46;;;pediatric rooms in a dental clinic;;;;"double door = { ""leaf width"": { ""value"": 800, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"":null }, door to pediatric wts&msrs = { ""leaf width"": { ""value"": 940, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""leaf depth"":null }";;;
4;10;1,2,4;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\10 Cutout 4 - Compositional view.jpg;"a drawing with several projections of a building. It features a plan fragment of two connected rooms, each accessible via a separate door. 

There are two sections: a corridor view cross-section (Section 1) and a longitudinal section (Section 2). 

The 3D axonometric view illustrates the spatial arrangement of doors.";2;45,46;;;pediatric rooms in a dental clinic;;;;"double door = { ""leaf width"": { ""value"": 875, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"":null }, door to pediatric wts&msrs = { ""leaf width"": { ""value"":762, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""leaf depth"":null }";;;
4;11;1,2,4;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\11 Cutout 4 - Compositional view.jpg;"a drawing with several projections of a building. It features a plan fragment of two connected rooms, each accessible via a separate door. 

There are two sections: a corridor view cross-section (Section 1) and a longitudinal section (Section 2). 

The 3D axonometric view illustrates the spatial arrangement of doors.";;45,46;;;pediatric rooms in a dental clinic;;;;"double door = { ""leaf width"": { ""value"": 875, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"":null }, door to pediatric wts&msrs = { ""leaf width"": { ""value"": 900, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""leaf height"": { ""value"": 2032, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""leaf depth"":null }";;;
5;12;18,19,20,21,22,23,24,25;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\12 Cutout 5.jpg;"a drawing which includes a plan and a 3D axonometric view of the ""Trolley Access Shower Room,"" labeled 1D14.";19;26,27,28,29,30,31,32,33,34,35,36,37,38,40;;;trolley access shower room  in a medical building;;;yess;;"adjacency(plan)={ toilet,wall,shower curtain,handrails; sink,wall,door, paper towel dispenser; shower trolley,toilet pan or sluice,wall,shower curtain, shower; door,wall,corridor; floor,toilet,sink,shower trolley,toilet pan or sluice,walls;}";;
5;13;18,19,20,21,22,23,24,25;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\13 Cutout 5.jpg;"a drawing which includes a plan and a 3D axonometric view of the ""Trolley Access Shower Room,"" labeled 1D14.";18,21,22, 23;19,20,26,27,28,29,30,31,32,33,34,35,36,37,38,40;;;trolley access shower room  in a medical building;;;yess;;;;
6;14;26,27,28,29,30, 31,32,33,34, 35, 36, 37, 38, 39, 40,41;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\14 Cutout 6 - Compositional view.jpg;a drawing that includes detailed projections of a shower room, with sections and a 3D view.;28,29,30,31,32,35,36,37,38,39,40;18,19,20,21,22,23.24,25,34,36,37, 38,39,40,41;;;shower room in a medical building;;;"mirror ={dimension [""unit"": ""mm""]:{""width""=600, ""height""=900}};text={""shower curtain""}";"double door = { ""door width"": { ""value"": 1350, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""door leafs height"": { ""value"": 2000, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""depth"":null }, shower curtain = { ""width"": { ""value"": 1200, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""height"": { ""value"":2000, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"": { ""value"":920, ""unit"": ""mm"", ""source_view"": ""plan"" } }, tip-up shower seat = {""width"": { ""value"":454, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""adjustable height"": { ""value 1"":680, ""unit"": ""mm"", ""source_view"": ""section 2"" ; ""value 2"":480, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""depth"": { ""value"":503, ""unit"": ""mm"", ""source_view"": ""Section 2"" } }, horizontal grabrails near shower seat = {""width"":null, ""height"":null, depth:{ ""value"":590, ""unit"": ""mm"", ""source_view"": ""Section 2"" }}, basin= { ""width"": { ""value"": 577, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""position height"": { ""value"":915, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""depth"":null}, verical handrail to the right of the basin ={""distance from floor to the lowest handrail mounting"":{""value"": 300, ""unit"": ""mm"", ""source_view"": ""section 1""}, height:{""value"": 1145, ""unit"": ""mm"", ""source_view"": ""section 1""}, distance from the nearest wall to the centerline of the handrail:{""value"": 355, ""unit"": ""mm"", ""source_view"": ""plan""}}, vertical handrail in the shower ={""distance from floor to the lowest handrail mounting"":{""value"": 600, ""unit"": ""mm"", ""source_view"": ""section 1""}, height:{""value"": 1125, ""unit"": ""mm"", ""source_view"": ""section 1""}, distance from the nearest wall to the centerline of the handrail:{""value"": 495, ""unit"": ""mm"", ""source_view"": ""section 2""}}";;;
6;15;26,27,28,29,30, 31,32,33,34, 35, 36, 37, 38, 39, 40,41;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\15 Cutout 6 - Compositional view.jpg;a drawing that includes detailed projections of a shower room, with sections and a 3D view.;26,27,28,29,30,31,32,33, 38, 39, 40;18,19,20,21,22,23.24,25,34,36,37,38,39,40, 41;;;shower room in a medical building;;;"mirror ={dimension [""unit"": ""mm""]:{""width""=600, ""height""=900}}, text={""shower curtain""}";"double door = { ""door width"": { ""value"": 1350, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""door leafs height"": { ""value"": 2000, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""depth"":null }, shower curtain = { ""width"": { ""value"": 1200, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""height"": { ""value"":1829, ""unit"": ""mm"", ""source_view"": ""section 2"" }, ""leaf depth"": { ""value"":920, ""unit"": ""mm"", ""source_view"": ""plan"" } }, tip-up shower seat = {""width"": { ""value"":454, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""height"": { ""value "":680, ""unit"": ""mm"", ""source_view"": ""section 2""  }, ""depth"": { ""value"":503, ""unit"": ""mm"", ""source_view"": ""Section 2"" } }, horizontal grabrails near shower seat = {""width"":null, ""height"":null, depth:{ ""value"":590, ""unit"": ""mm"", ""source_view"": ""Section 2"" }}, basin= { ""width"": { ""value"": 577, ""unit"": ""mm"", ""source_view"": ""plan"" }, ""position height"": { ""value"":915, ""unit"": ""mm"", ""source_view"": ""section 1"" }, ""depth"":null}, verical handrail to the right of the basin ={""distance from floor to the lowest handrail mounting"":{""value"": 285, ""unit"": ""mm"", ""source_view"": ""section 1""}, height:{""value"": 1145, ""unit"": ""mm"", ""source_view"": ""section 1""}, distance from the nearest wall to the centerline of the handrail:{""value"": 355, ""unit"": ""mm"", ""source_view"": ""plan""}}, vertical handrail in the shower ={""distance from floor to the lowest handrail mounting"":{""value"":580, ""unit"": ""mm"", ""source_view"": ""section 1""}, height:{""value"": 1125, ""unit"": ""mm"", ""source_view"": ""section 1""}, distance from the nearest wall to the centerline of the handrail:{""value"": 495, ""unit"": ""mm"", ""source_view"": ""section 2""}}";;;
7;16;42,43,44;39, 40, 41, 42,43, 44,45,46;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\16_Cutout 7 .jpg;a floor plan with different zones (Dental Surgery Offices, Main Mechanical Room, Open to Below Areas, admininstrative offices, staff room cluster, Library/Classroom, Corridors);42, 43,44;49,50,51,52,53,54;;;a dental clinic;;;;;;;
7;17;42,43,44;39, 40, 41, 42,43, 44,45,46;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\17_Cutout 7.jpg;a floor plan with different zones (Dental Surgery Offices, Main Mechanical Room, Open to Below Areas, admininstrative offices, staff room cluster, Library/Classroom, Corridors);;49,50,51,52,53,54;;;a second floor plan in a dental clinic;"functional grouping={administrative area:corridor 2BC1, corridor 2BC6, waiting 2B11, tech office 2B9, tech office 2B7, psych test 2B4, jan. cl. 2B2, corridor 2BC5, office 2B01, staff toilet 2B6, w. toilet 2B5, office / exam 2B8, soil. utl. / trash 2B25, bee tech 2B24, comm. room 2B12, reception 2B10, corridor 2BC4, bee tech 2B23, electrical 2B13, recs/forms storage 2B14, wait / ergom 2B15, cl.utl. / kitchenet 2B17, office 2B19, corridor 2BC3, m. toilet 2B22, stair 2BS2, ph tech 2B16, ph tech 2B18, jan. cl. 2B20, ph super 2B21; patient treatment area: stair 2AS1, hk 2C11, corridor 2CC4, gen. dent. dtr #9 2C09, gen. dent. dtr #8 2C06, gen. dent. dtr #7 2C04, gen. dent. dtr 6 #2C02, gen. dent. dtr #5 2A09, gen. dent. dtr #4 2A08, oh dtr #3 2A07, oh dtr #2 2A06, oh dtr #1 2A05, dental surgeon office 2A04, corridor 2CC3, corridor 2CC2, corridor 2AC3, sec. office 2A03, dipc decon 2C10, w. staff toilet 2C08, m. staff toilet 2C07, jan. cl. 2C05, consult. 2C03, dtr support 2C01, dental waiting 2A10, x-ray alcove 2A12, x-ray 2A12, developing 2A13, corridor 2AC4, w. toilet 2C24, dental waiting 2A11, corridor 2AC5, m. toilet 2C23}";;;;;;
8;18;45,46;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\18 Cutout 8.jpg;This layout includes both a plan view and a 3D axonometric view. The drawings depict a dental waiting area with a designated play space for children. The 3D axonometric view provides a spatial representation.;46;;;;dental waiting area;;;yess;;;;
8;19;45,46;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\19_Cutout 8.jpg;a floor plan with different zones (Dental Surgery Offices, Waiting rooms, Main Mechanical Room, Open to Below Areas, admininstrative offices, staff room cluster, Library/Classroom, Corridors);45,46;46;;;dental waiting area;;;yess;;;;
8;20;45,46;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\20 Cutout 8 - Compositional view.jpg;This layout includes both a plan view and a 3D axonometric view. The drawings depict a dental waiting area with a designated play space for children. The 3D axonometric view provides a spatial representation.;45;49,50,51,52,53,54;;;dental waiting area;;;yess;;;;
1;21;47,48;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\21 Cutout 1 - Compositional view.jpg;a set of drawings includes a plan view, a section, and a 3D axonometric view of a bathroom space;48;6,7,8,9,10,13;;;semi-ambulant  WC room;;;yess;;;;
9;22;49,50,51,52,53,54;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\22 Cutout 9 - Compositional view.jpg;a sheet that presents both a 3D axonometric view and a floor plan of a building.  3D view highlights key areas such as offices, waiting rooms, and common spaces and some furniture elements.;54;54;;;a cutout of second floor in a dental clinic;"direct_connectivity={stair 2AS1:corridor 2AC2, dental waiting 1D44, corridor 2AC1; hk 2C11:corridor 2CC4, corridor 2CC3, corridor 2CC1, gen. dent. dtr #9 2C09, gen. dent. dtr #8 2C06, m. staff toilet 2C07, dipc decon 2C10, dipc clean 2C12, corridor 2CC5;  gen. dent. dtr #9 2C09: hk 2C11, corridor 2CC4, corridor 2CC3, corridor 2CC1, corridor 2CC2, gen. dent. dtr #8 2C06, m. staff toilet 2C07, deep decon 2C10;  dental surgeon office 2A04: sec. office 2A03, super office 2A02, corridor 2AC4;  sec. office 2A03: dental surgeon office 2A04, super office 2A02, corridor 2AC4, corridor 2AC5, admin 2A14, library/conf. room 2A01, oh dtr #1 2A05;  dipc decon 2C10: corridor 2CC3, corridor 2CC1, corridor 2CC4, hk 2C11, gen. dent. dtr #9 2C09, gen. dent. dtr #8 2C06, m. staff toilet 2C07;  w. staff toilet 2C08: corridor 2CC1, lounge 2CC22, corridor 2CC3, m. staff toilet 2C07, gen. dent. dtr #9 2C09, gen. dent. dtr #8 2C06, dipc decon 2C10, corridor 2CC4, hk 2C11;  m. staff toilet 2C07: corridor 2CC2, corridor 2CC3, corridor 2CC1, gen. dent. dtr #8 2C06, gen. dent. dtr #9 2C09, hk 2C11, dipc decon 2C10, corridor 2CC4; consult. 2C03: corridor 2CC2, touchdown base 2C01, jan.cl. 2C05, gen. dent. dtr #7 2C04, gen. dent. dtr #6 2C02, corridor 1D45, corridor 2CC3;  touchdown base 2C01: corridor 2CC2, corridor 1D45, corridor 2AC2, dental waiting, gen. dent. dtr #6 2C02, gen. dent. dtr #7 2C04, consult. 2C03, jan.cl. 2C05, corridor 2CC3;  dental waiting 1D49: corridor 1D57, corridor 2AC2, gen. dent. dtr #5 2A09, gen. dent. dtr #4 2A08, oh dtr 3 2A07, oh dtr 2 2A06, corridor 2AC4, x-ray alcove 2A12-A, touchdown base 1D54, corridor 2CC2} not_direct_connectivity={
stair 2AS1: dipc decon 2C10, gen. dent. dtr #9 2C09, hk 2C11; hk 2C11: stair 2AS1, dental waiting 1D49, library/conf. room 2A01; gen. dent. dtr #9 2C09: dental surgeon office 2A04, stair 2AS1, x-ray alcove 2A12-A; dental surgeon office 2A04: hk 2C11, gen. dent. dtr #9 2C09, dipc decon 2C10; sec. office 2A03: dipc decon 2C10, hk 2C11, gen. dent. dtr #8 2C06;dipc decon 2C10: dental surgeon office 2A04, sec. office 2A03, stair 2AS1; w. staff toilet 2C08: dental surgeon office 2A04, sec. office 2A03, stair 2AS1; m. staff toilet 2C07: dental surgeon office 2A04, sec. office 2A03, stair 2AS1; consult. 2C03: dipc decon 2C10, hk 2C11, sec. office 2A03; touchdown base 2C01: dipc decon 2C10, hk 2C11, m. staff toilet 2C07; dental waiting 1D49: dipc decon 2C10, hk 2C11, dipc clean 2C12; }";;yess;;;;
9;23;49,50,51,52,53,54;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\23 Second Floor_Cutout 9.jpg;a floor plan with different zones (Dental Surgery Offices, Waiting rooms, Open to Below Areas,, small staff room cluster, Corridors);49,50,51,52,53,54;;;;a cutout of second floor plan in a dental clinic;;;yess;;;;
10;24;55,56,57,59;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\24 Cutout 10 - Compositional view.jpg;"this image includes a floor plan and a perspective view.  ""3D viewpoint"" marker on the plan indicates the perspective from which the 3D image is taken.";55,56,59;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,55,57,58,60;;;a cutout of first floor plan in a dental clinic;;;yess;;;;
10;25;55,56,57,59;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\25 Cutout 10 - Compositional view.jpg;"this image includes a floor plan and a perspective view.  ""3D viewpoint"" marker on the plan indicates the perspective from which the 3D image is taken.";57,58,59, 60;1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,57,58,59,60;;;a cutout of first floor plan in a dental clinic;;;yess;;;;
11;26;5,6,7,8,9,10,11,12,13,14,15,16,17;39,40,41,42,43,44,45,46,8,10;C:\Users\ritaMZ\WebstormProjects\thesis\backend\scenes\26 a plan view of a semi-abudant WC room.jpg;a plan view of a semi-ambulant  WC room;5,6,7,9,11,12,14,15,16;6,7,8,9,10,13;;;semi-ambulant  WC room;;;yess;;;;
